text,dialect,sentiment,confidence
قرأت إن في مشروع تطوير جديد بمنطقتنا,Ammani,neutral,high
بدي أغير روتيني شوي، حاسس محتاج تغيير,Ammani,neutral,medium
سمعت إن في مطعم جديد افتتح بشارع الرينبو,Ammani,neutral,high
الشغل هاي الأيام ضغط ما بيوصف، كتير تعبان,Ammani,negative,high
والله زهقت من ناس بتحكي وما بتعمل شي,Ammani,negative,high
اليوم كان في حصة رياضة بالمدرسة، تعبت شوي,Ammani,neutral,medium
طلعت أمشي شوي قبل ما يسقف الجو,Ammani,neutral,low
وصلت عالمسبح وكان مغلق، ما في إشعار ولا شي,Ammani,negative,high
حصلت على إجازة أسبوع كامل، بدي أرتاح وأكمل أموري,Ammani,positive,high
الصبح كان في شمس حلوة وهواء، قعدت شوي عالبلكونة,Ammani,positive,high
الموبايل وقع وتكسر الشاشة، بكره رح أشيله عالصيانة,Ammani,negative,high
صاحبي قال إن في مطعم سوري جديد بالويبدة، لازم نجربه,Ammani,neutral,high
الشارع من بيتنا محفور من شهرين ولسا ما خلصوا,Ammani,negative,high
نجحت بامتحان الرخصة من أول مرة، الحمد لله,Ammani,positive,high
قطع الشارع فجأة وما في لافتة تحذير، كاد يصير حادث,Ammani,negative,medium
الدوام اليوم انتهى بدري وطلعنا مع الزملاء نتغدى,Ammani,positive,low
انتهيت من الكتاب اللي كنت قارئه من فترة، كان رائع,Ammani,positive,high
بدي أشتري لابتوب جديد، بس الأسعار ارتفعت,Ammani,neutral,low
رحت على الصيدلية وما لقيت الدواء اللي بحتاجه,Ammani,negative,high
الجيران الجدد ناس كويسين، انبسطنا فيهم,Ammani,positive,high
الأستاذ في الجامعة شرح المادة منيح اليوم، فهمت كل شي,Ammani,positive,low
عندنا تجمع عيلة الجمعة، رح نجي كلنا,Ammani,neutral,high
الاجتماع أخذ ضعف الوقت المخصص وما خلصنا بدري,Ammani,negative,medium
تأخرت على الطيران بسبب الأزمة ومرقت علي بدقيقتين,Ammani,negative,medium
اليوم في عمل فريق تمام، الحمد لله الأمور ماشية,Ammani,positive,high
الجو اليوم بعمان بحبش، مش حر مش برد تمام تمام,Ammani,positive,high
صاحبتي نسيت موعدنا وأنا انتظرتها نص ساعة,Ammani,negative,medium
الحمد لله على نعمة الصحة، أهم شي بالحياة,Ammani,positive,high
يوم العطلة كان تمام، ما طلعت من البيت وارتحت,Ammani,positive,high
والله رفقاتي ناس ذهب، دايما موجودين في الظروف,Ammani,positive,high
كنت متحمس للإجازة وبس بدها تجي تطلع فيها مشاكل,Ammani,negative,high
السكن بعمان غالي كتير هالأيام، ما بعرف,Ammani,neutral,high
رحت اليوم على سوق الخضار واشتريت أغراض الأسبوع,Ammani,neutral,low
رحت عالبنك وكان في دور طويل، ضيعت وقتي كله,Ammani,negative,high
